Data,Funcionario,Turno,Entrada,Saida,Horas,Extra,Ad_Noturno
2026-02-02,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-03,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-04,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-05,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-06,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-09,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-10,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-11,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-12,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-13,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-16,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-17,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-18,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-19,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-20,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-23,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-24,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-25,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-26,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
2026-02-27,CTkComboBox,Diurno (08:00 - 17:00),08:00,17:00,8.0,0.0,0.0
